Datetime,Open,High,Low,Close,Volume
2026-08-28 09:30:00-04:00,22.770000457763672,22.770000457763672,22.770000457763672,22.770000457763672,0
2026-08-28 09:32:00-04:00,22.860000610351562,22.8700008392334,22.860000610351562,22.8700008392334,359
2026-08-28 09:37:00-04:00,22.8700008392334,22.889999389648438,22.84000015258789,22.84000015258789,991
2026-08-28 09:38:00-04:00,22.899900436401367,22.899900436401367,22.7726993560791,22.7726993560791,1793
2026-08-28 09:41:00-04:00,22.889999389648438,22.899999618530273,22.719999313354492,22.899999618530273,200
2026-08-28 09:43:00-04:00,22.274999618530273,22.274999618530273,22.274999618530273,22.274999618530273,1459
2026-08-28 09:56:00-04:00,22.940000534057617,22.940000534057617,22.940000534057617,22.940000534057617,347
2026-08-28 10:03:00-04:00,23.0,23.0,23.0,23.0,552
2026-08-28 10:09:00-04:00,22.549999237060547,22.700000762939453,22.479999542236328,22.479999542236328,919
2026-08-28 10:10:00-04:00,22.479999542236328,22.854999542236328,22.479999542236328,22.6382999420166,6306
2026-08-28 10:11:00-04:00,22.639999389648438,22.649999618530273,22.530000686645508,22.649999618530273,2744
2026-08-28 10:12:00-04:00,22.540000915527344,22.850000381469727,22.53499984741211,22.559999465942383,6078
2026-08-28 10:13:00-04:00,22.680700302124023,22.850000381469727,22.549999237060547,22.600000381469727,6868
2026-08-28 10:14:00-04:00,22.690000534057617,22.770000457763672,22.549999237060547,22.649999618530273,6797
2026-08-28 10:15:00-04:00,22.649999618530273,22.700000762939453,22.549999237060547,22.649999618530273,2399
2026-08-28 10:16:00-04:00,22.610000610351562,22.610000610351562,22.600000381469727,22.600000381469727,851
2026-08-28 10:17:00-04:00,22.670000076293945,22.670000076293945,22.670000076293945,22.670000076293945,601
2026-08-28 10:22:00-04:00,22.649999618530273,22.649999618530273,22.649999618530273,22.649999618530273,290
2026-08-28 10:27:00-04:00,22.594999313354492,22.725000381469727,22.594999313354492,22.725000381469727,861
